subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
does being an alcohol syndrome child make you more susceptible to getting addicted to alcohol?,im just wondering if i did would i easily get addicted to drinking?,,,,,,
"rank in order from unhealiest to least unhealiest: cigarettes, marijuana, alcohol?",,,,,,,
"ive been addicted to alcohol since i was 13, should i seek treatment?","that being said, can i cure myself of alcoholism or is seeking treatment necessary? ",,,,,,
should i give up alcohol for good?,,,,,,,
is it possible i could become alcoholic like my father?,,,,,,,
is there a problem with alcohol if you sneak 6 pack after 6 pack into your home?,,,,,,,
"if people say its bad to smoke weed or drink alcohol to be a singer , how come professional singers do it?",,,,,,,
questions for teens who drink alcohol?,3.  how much and how regularly do you drink?,4.  how do you get hold of the drink?,6.  are you worried about your future health as a result of your drinking or the possibility that you could become addicted?,,,,
my mom is an alcoholic in desperate need of recovery. please help?,,,,,,,
my family think i might be an alcoholic! i am?,,,,,,,
"alcoholic father, need help?",is there any way at all to get through to my dad and make him see how unreasonable he is when hes drunk? ,,,,,,
i really enjoy alcohol does it mean im an alcoholic?,,,,,,,
liver disease with chronic alcohol abuse help?,,,,,,,
making a drugs and alcohol website?,,,,,,,
can you be an alcoholic if you have never drank before?,,,,,,,
is drinking alcohol a sin if you dont get addicted?,,,,,,,
do i have an alcohol problem?,"do you think i have an alcohol problem that really requires outpatient rehab, which im in right now?",,,,,,
how many glasses of wine a night does it take for one to be an alcoholic?,,,,,,,
"if i miss not drinking alcohol terribly, does that mean im an alcoholic?","does drinking only 3-4 glasses of wine a night, and missing it terribly, mean im an alcoholic?",,,,,,
"would it be too forward for me to ask out a guy im in outpatient alcohol rehab with, after we complete it?",,,,,,,
why are all alcoholics/drug addicts handed ssd?,,,,,,,
i obsess over alcohol--am i just missing it and not an alcoholic?,"am i just missing alcohol, like i would miss coke or coffee or am i an alcoholic?",,,,,,
does any body have any tips on how to deal with a bdp alcoholic.?,,,,,,,
are these effects of alcoholism ?,,,,,,,
if some one is addicted to drugs or alcohol does that make them weakminded?,,,,,,,
to intervene or not to intervene all adults with family drug and alcohol issues please respond?,"from your own experience, do you think i should get an interventionist or do you think that this is something that she should want for herself?",,,,,,
"what exactly are alcoholics addicted to, the taste effects of alcohol?",,,,,,,
am i addicted i take a lot of pills and alcohol. ?,,,,,,,
am i addicted to alcohol?,,,,,,,
"which is worse for you, alcohol or cigarettes?",,,,,,,
why are people so addicted to alcohol?,what is the appeal to this common addiction? ,,,,,,
does anybody have an alcoholic parent?,,,,,,,
why are pregnant women who still smoke and drink alcohol?,"every drop of alcohol or every time they smoke is harming the baby, what part of that dont they understand? ",,,,,,
type of people suffering from alcohol?,is it usually the teens or people who go to nightclubs or maybe something else?,,,,,,
"i have lost everybody around me because of alcohol and drug problems, now i dont know who to turn to?",,,,,,,
can bugs be addicts or alcoholics?,,,,,,,
how much alcohol is too much (long read)?,,,,,,,
can you be an alcoholic without ever taking a drink?,,,,,,,
"whats whorse  alcohol or weed , whats the diffrent?",,,,,,,
do you agree with me; overweight people need as much help as an alcoholic?,,,,,,,
"doing a study for school, do alcoholics burn alcohol faster?",but i would also like to know if alcoholics process alcoholic quicker than light/social drinkers?,,,,,,
how is alcoholism a disease?,,,,,,,
how to reduce weight gain while drinking alcohol?,is there anything else i could do to minimize weight gain while drinking? ,,,,,,
"if one of your parents is an alcoholic, for as long as you can remember, what are your chances of following ?", what is the percentage of alcoholics children following thier path?,,,,,,
"addicted alcohol,cigarettes and sex ?",,,,,,,
should i return to work yet after being on disability for alcoholism and bipolar?,should i discontinue contact w/him & go out on mental disability for a few more weeks?,,,,,,
help my dad is alcohol addicted?,,,,,,,
do i sound like i have a problem with alcohol or am i addicted?,,,,,,,
is this a good reason to extend my disability leave (alcoholic)?,do you think my counselor will extend my disability leave because of this?,,,,,,
does alcohol poisoning involve these symptoms?,,,,,,,
do i sound like i have a problem with alcohol or am i addicted?,,,,,,,
i am addicted to alcohol and video games?,,,,,,,
can an ex-cocaine user drink alcohol?,,,,,,,
is alcohol a gateway drug?,,,,,,,
why do they put drug addicts in prison but not alcoholics?,what is the point in putting an addict into prison anyway when they are already killing themselves?,,,,,,
do alcohol & drug abuse addicts feel emotional pain on an almost constant basis?,,,,,,,
risk of being an alcoholic?,"i was wondering how long would it take for me to be addicted, or could i even get addicted with one sip/beer?",,,,,,
what does it mean when you have a hard time stopping after 2-3 alcoholic drinks?,,,,,,,
is alcohol as bad as cocaine?,is it just because of the cost of drugs why the government make it illegal? ,,,,,,
"do you think im a drug addict, alcoholic, and whore?",do i need to go to rehab or something?,,,,,,
do you believe alcoholism or addiction is a disease?,"also, do you think you are more likely to become an addict if your biological parents are?",,,,,,
whats addictive about alcohol?,why do people get addicted so much to it? ,,,,,,
would you rather be addicted to alcohol or cigarettes?,,,,,,,
"who would you hire: a pot smoker, or an alcoholic?",,,,,,,
what causes can you get from drinking alcohol?,,,,,,,
how long can an alcoholic go without drinking before they begin to detox?,,,,,,,
my husband has a drug and alcohol problem and i dont know what to do?,i just wish he would get help  what do i do?,,,,,,
my er doc told me to go on benzos to quit alcohol?,do i risk getting hooked on xanax now?,i am also on antiseizure meds so would i be ok to detox off alchol? ,,,,,
how can you make someone realise they are an alcoholic?,,,,,,,
poll:yes or no: you know someone addicted to drugs or alcohol?,,,,,,,
how to kick an alcohol addiction?,,,,,,,
"xanax, alcohol, melatonin?","5 mg of xanax and 2 shots of vodka 40% about 3-4 hours ago, is it safe to take a 5 mg melatonin now to help me sleep? ",,,,,,
im 14 years old and addicted to alcohol . why is that . ?,,,,,,,
should i drink alcohol my parents arent home?,so i though should i get drunk cause i never been drunk before.,im 15 so what should i do if i get caught? ,,,,,
is anthony bourdain an alcoholic?,,,,,,,
"hi, i have managed not to drink any alcohol for over 3 weeks now. i exercise daily and eat healthily to keep ?",how can i stop those thoughts for good?,,,,,,
how to get rid of an addiction (non drug/alcohol wise)?,,,,,,,
would you consider this to be an alcoholic?,,,,,,,
chances of becoming an alcoholic?,,,,,,,
a friend of mine is getting addicted to alcohol and weed...?,,,,,,,
why am i not getting addicted to drugs or alcohol?,,,,,,,
"is sex and masturbation more addictive than drugs like caffeine, nicotine, marijuana and drinks like alcohol?",is masturbation and sex more dangerous and addictive than any drug or alcohol. ,,,,,,
marijuana vs. alcohol/cocaine/tobacco?,"what are its affects(short term, like affects from smoking) vs. alcohol and other more hardcore drugs like crystal meth?",what are its long terms affects vs. alcohol and other drugs? ,,,,,
"speed, percocet, and alcohol withdrawals?",,,,,,,
how to encourage a recovering alcoholic after they slip up?,,,,,,,
nhs advice centres for those with problems involving alcohol or drugs; why arent they confidential?,would you visit any nhs organisation for advice knowing they will promptly dob you and your kids into the social services? ,,,,,,
why isnt alcohol illegal and pot legal?,,,,,,,
why do people get addicted to alcohol and cigarettes ?,,,,,,,
if someone is (physically) addicted to alcohol can they quit (drinking) on there own?,,,,,,,
serious help! addicted to ..drinking! (non alcohol)?,,,,,,,
for a short creative story:what would be alcohol in space?,"so i did britney spears, im at the point of her drug and alcohol problem so what would be a ""creative"" way for a star to have those problems? ",,,,,,
my husband is a alcoholic and drug addict and spends all our money and doesnt pay bills. help me.?,,,,,,,
songs about alcohol and drugs?,,,,,,,
as a social work interns how would you help a client who is addicted to alcohol ?,,,,,,,
can an alcoholic give another alcoholic a liver transplant?,"can i give him part of my liver even though im also an alcoholic, cuz i dont know what i would do without him",,,,,,
how can someone be an alcohol and drink every night?,,,,,,,
why are alcohol and cigarettes legal?,,,,,,,
can a former drug addict-cokhead---drink alcohol?,,,,,,,
what is more addictive..luxuries or alcohol?,,,,,,,
"why arent drugs (such as coke, heroin, etc.) legal, when alcohol is im confused...?",,,,,,,
can anyone tell me if it is possible that on top of the alcohol he can still be a cocaine addict?,"does this still hold true if he uses, goes home at 9pm, eats a pizza and drink 2-3 bottles of wine and then goes to bed?",,,,,,
what is your opinion about drugs and alcohol?,,,,,,,
is it bad to drink alcohol when your underage?,but like is it bad for your brain or something.,,,,,,
i think im an alcoholic?,"but i dont want to become an alcoholic, how can i have the alcoholic personality without actually needing alcohol?",,,,,,
is caffeine a gateway to alcohol?,,,,,,,
which is more dangerous alcohol or marujana / weed. and why?,,,,,,,
what are some strategies to reduce alcohol consumption?,trying to cut back & not drink so often what should i do?,,,,,,
am i addicted to alcohol?,,,,,,,
advice with alcohol please?,if i carry on will i become addicted to alcohol? ,,,,,,
bachelorette party without alcohol or strippers?,what other ideas can anyone come up with to be fun for her but within these guidelines?,,,,,,
first time to drink alcohol!?,,,,,,,
confused. partner addicted to alcohol wants to come back and promises to only drink wine?,,,,,,,
what is the difference between alcohol prohibition and the war on drugs?,,,,,,,
"alcohol etg test today, its been 85 hours will i pass?",,,,,,,
"my friend drinks alcohol, what should i do?",,,,,,,
what does being drunk feel like when you have the tolerance of an alcoholic?,,,,,,,
"alcohol is more damaging than heroin or crack, why is it legal?",,,,,,,
what remedy and advice would you give to an alcohol addict?,,,,,,,
"what do u personally think is the worst addiction:drugs,alcohol or gambling?",,,,,,,
